iter	Passed	Remaining
0	294	293885
1	295	147476
2	299	99637
3	302	75400
4	305	60762
5	306	50815
6	308	43824
7	314	39030
8	316	34889
9	320	31695
10	321	28950
11	325	26824
12	328	24964
13	332	23387
14	333	21919
15	335	20606
16	338	19584
17	341	18623
18	347	17938
19	356	17445
20	358	16726
21	362	16101
22	375	15932
23	388	15786
24	394	15401
25	401	15043
26	404	14559
27	406	14119
28	408	13691
29	412	13343
30	416	13010
31	417	12629
32	419	12279
33	420	11949
34	421	11632
35	423	11335
36	424	11047
37	426	10790
38	428	10555
39	429	10309
40	430	10074
41	431	9850
42	433	9638
43	434	9444
44	436	9253
45	437	9078
46	438	8899
47	441	8764
48	443	8617
49	445	8460
50	446	8312
51	447	8165
52	449	8023
53	450	7886
54	451	7755
55	452	7628
56	453	7505
57	457	7435
58	459	7328
59	460	7216
60	461	7108
61	463	7008
62	464	6908
63	465	6810
64	466	6715
65	467	6622
66	470	6552
67	472	6477
68	473	6395
69	475	6314
70	476	6237
71	477	6158
72	478	6082
73	480	6007
74	481	5934
75	482	5864
76	484	5801
77	487	5765
78	489	5702
79	490	5640
80	491	5579
81	493	5519
82	493	5457
83	495	5399
84	496	5342
85	497	5287
86	500	5248
87	501	5201
88	503	5149
89	504	5097
90	505	5047
91	506	4998
92	507	4950
93	508	4905
94	510	4858
95	511	4815
96	513	4777
97	517	4762
98	518	4721
99	520	4680
100	521	4642
101	522	4603
102	524	4563
103	525	4525
104	526	4488
105	527	4450
106	530	4425
107	532	4395
108	533	4360
109	534	4327
110	536	4295
111	537	4263
112	538	4230
113	540	4197
114	541	4168
115	543	4139
116	545	4117
117	548	4098
118	550	4075
119	551	4046
120	553	4018
121	554	3989
122	556	3969
123	558	3943
124	563	3942
125	564	3916
126	565	3888
127	567	3864
128	568	3841
129	571	3822
130	572	3799
131	574	3778
132	577	3767
133	579	3745
134	581	3722
135	582	3700
136	584	3681
137	585	3658
138	587	3639
139	590	3627
140	592	3611
141	593	3588
142	595	3567
143	597	3549
144	599	3534
145	600	3514
146	602	3495
147	604	3481
148	607	3468
149	608	3449
150	610	3430
151	611	3410
152	613	3398
153	615	3379
154	616	3359
155	617	3340
156	621	3337
157	623	3320
158	624	3302
159	625	3285
160	626	3266
161	628	3252
162	629	3234
163	631	3217
164	632	3200
165	635	3192
166	637	3179
167	638	3163
168	640	3151
169	642	3138
170	644	3122
171	645	3106
172	647	3094
173	649	3084
174	651	3070
175	652	3055
176	653	3040
177	655	3025
178	656	3012
179	658	2997
180	659	2982
181	661	2974
182	664	2965
183	665	2951
184	667	2938
185	668	2925
186	669	2912
187	671	2901
188	673	2888
189	674	2876
190	679	2879
191	682	2871
192	683	2859
193	685	2846
194	687	2837
195	688	2824
196	690	2812
197	694	2813
198	696	2803
199	697	2791
200	699	2779
201	700	2767
202	702	2758
203	703	2746
204	705	2735
205	708	2729
206	712	2728
207	714	2721
208	718	2720
209	720	2711
210	726	2716
211	727	2705
212	729	2693
213	730	2684
214	732	2674
215	733	2662
216	736	2658
217	738	2650
218	740	2639
219	741	2629
220	742	2618
221	744	2607
222	745	2597
223	746	2587
224	747	2576
225	749	2566
226	753	2565
227	754	2555
228	756	2545
229	757	2537
230	759	2526
231	760	2517
232	761	2507
233	762	2497
234	764	2487
235	768	2486
236	769	2477
237	770	2467
238	771	2457
239	773	2447
240	774	2438
241	775	2429
242	776	2420
243	778	2410
244	783	2413
245	784	2405
246	786	2396
247	787	2387
248	788	2379
249	790	2372
250	792	2363
251	793	2355
252	798	2356
253	799	2348
254	800	2339
255	801	2330
256	803	2321
257	804	2312
258	805	2303
259	806	2295
260	807	2286
261	809	2279
262	811	2274
263	813	2267
264	814	2258
265	815	2250
266	817	2243
267	818	2234
268	819	2226
269	820	2218
270	821	2210
271	825	2208
272	827	2203
273	828	2196
274	830	2189
275	831	2182
276	833	2174
277	834	2166
278	835	2158
279	836	2151
280	839	2148
281	841	2143
282	843	2136
283	844	2129
284	846	2123
285	847	2115
286	848	2108
287	849	2101
288	851	2094
289	854	2091
290	856	2087
291	857	2079
292	859	2073
293	860	2066
294	861	2059
295	863	2053
296	864	2047
297	866	2041
298	871	2044
299	874	2039
300	875	2033
301	877	2027
302	878	2021
303	880	2015
304	881	2009
305	884	2005
306	886	2001
307	888	1995
308	889	1988
309	890	1982
310	892	1976
311	893	1969
312	894	1962
313	895	1957
314	897	1950
315	900	1948
316	902	1944
317	903	1938
318	905	1932
319	906	1926
320	907	1920
321	909	1914
322	910	1908
323	911	1902
324	914	1899
325	917	1896
326	918	1890
327	920	1885
328	922	1881
329	923	1875
330	925	1870
331	926	1864
332	929	1861
333	932	1859
334	934	1854
335	935	1848
336	937	1843
337	939	1839
338	940	1834
339	941	1828
340	944	1825
341	946	1821
342	948	1816
343	950	1812
344	951	1807
345	953	1802
346	955	1797
347	956	1791
348	958	1788
349	961	1786
350	963	1781
351	964	1776
352	966	1770
353	967	1766
354	969	1760
355	970	1756
356	972	1750
357	975	1748
358	976	1743
359	978	1738
360	979	1734
361	981	1729
362	983	1725
363	984	1720
364	986	1715
365	990	1715
366	992	1711
367	993	1706
368	995	1702
369	996	1697
370	998	1692
371	999	1687
372	1000	1682
373	1002	1678
374	1004	1674
375	1006	1670
376	1007	1665
377	1009	1661
378	1011	1657
379	1012	1652
380	1013	1647
381	1015	1642
382	1018	1641
383	1020	1637
384	1021	1632
385	1023	1628
386	1025	1624
387	1026	1619
388	1028	1614
389	1029	1610
390	1031	1606
391	1034	1603
392	1035	1599
393	1036	1594
394	1038	1590
395	1039	1585
396	1040	1580
397	1041	1575
398	1042	1570
399	1044	1566
400	1046	1562
401	1048	1559
402	1049	1555
403	1051	1551
404	1053	1547
405	1055	1543
406	1056	1539
407	1057	1534
408	1059	1530
409	1062	1528
410	1063	1524
411	1065	1520
412	1066	1516
413	1068	1511
414	1070	1508
415	1071	1504
416	1072	1500
417	1074	1496
418	1077	1494
419	1080	1492
420	1082	1488
421	1083	1484
422	1084	1479
423	1086	1475
424	1087	1471
425	1089	1467
426	1096	1470
427	1098	1468
428	1100	1464
429	1102	1461
430	1104	1458
431	1106	1455
432	1108	1452
433	1110	1448
434	1112	1444
435	1113	1440
436	1114	1435
437	1115	1431
438	1117	1427
439	1118	1423
440	1119	1419
441	1122	1417
442	1125	1415
443	1127	1412
444	1129	1408
445	1131	1405
446	1133	1402
447	1134	1398
448	1137	1395
449	1139	1392
450	1140	1388
451	1142	1384
452	1143	1380
453	1144	1376
454	1146	1372
455	1147	1369
456	1149	1365
457	1151	1362
458	1153	1359
459	1155	1356
460	1156	1352
461	1157	1348
462	1159	1344
463	1161	1341
464	1162	1337
465	1164	1333
466	1167	1332
467	1168	1328
468	1170	1324
469	1171	1320
470	1172	1317
471	1174	1313
472	1175	1309
473	1177	1306
474	1178	1302
475	1181	1300
476	1183	1297
477	1184	1293
478	1186	1289
479	1188	1287
480	1189	1283
481	1190	1279
482	1192	1276
483	1193	1272
484	1197	1271
485	1199	1268
486	1200	1264
487	1202	1261
488	1204	1258
489	1205	1255
490	1207	1251
491	1208	1247
492	1211	1246
493	1213	1243
494	1215	1239
495	1217	1237
496	1219	1233
497	1220	1230
498	1222	1226
499	1226	1226
500	1228	1223
501	1230	1221
502	1232	1218
503	1234	1215
504	1236	1211
505	1237	1208
506	1239	1204
507	1243	1204
508	1245	1201
509	1247	1198
510	1248	1194
511	1249	1191
512	1251	1187
513	1252	1183
514	1253	1180
515	1254	1176
516	1257	1175
517	1259	1172
518	1261	1169
519	1263	1166
520	1264	1162
521	1266	1159
522	1267	1156
523	1269	1152
524	1271	1150
525	1273	1147
526	1275	1144
527	1276	1141
528	1278	1138
529	1280	1135
530	1281	1132
531	1283	1129
532	1285	1126
533	1286	1123
534	1288	1119
535	1289	1116
536	1291	1113
537	1292	1109
538	1293	1106
539	1298	1105
540	1300	1103
541	1301	1099
542	1303	1096
543	1304	1093
544	1305	1090
545	1307	1086
546	1308	1083
547	1312	1082
548	1314	1079
549	1315	1076
550	1317	1073
551	1318	1069
552	1320	1066
553	1321	1063
554	1322	1060
555	1323	1057
556	1328	1056
557	1330	1053
558	1331	1050
559	1332	1047
560	1334	1044
561	1335	1040
562	1336	1037
563	1337	1034
564	1339	1031
565	1343	1030
566	1345	1027
567	1346	1024
568	1347	1020
569	1349	1017
570	1350	1014
571	1351	1011
572	1352	1007
573	1353	1004
574	1357	1003
575	1359	1000
576	1360	997
577	1362	994
578	1363	991
579	1364	988
580	1365	984
581	1366	981
582	1368	978
583	1372	977
584	1373	974
585	1375	971
586	1377	968
587	1378	965
588	1379	962
589	1380	959
590	1381	956
591	1383	953
592	1386	951
593	1388	948
594	1389	945
595	1391	943
596	1392	940
597	1393	936
598	1395	933
599	1396	930
600	1397	927
601	1398	924
602	1402	923
603	1403	920
604	1404	917
605	1406	914
606	1407	911
607	1408	908
608	1410	905
609	1411	902
610	1412	899
611	1416	897
612	1418	895
613	1419	892
614	1421	889
615	1422	886
616	1424	884
617	1426	881
618	1427	878
619	1429	876
620	1431	873
621	1433	870
622	1434	868
623	1435	865
624	1437	862
625	1438	859
626	1439	856
627	1440	853
